,University_id,Private,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate
142,123597,1,314,158,132,10,28,690,5346,8294,3700,400,900,87,87,15.3,2,5015,37
355,123810,0,233,233,153,5,12,658,58,4486,2516,600,1900,68,68,15.7,11,6971,51
257,123712,1,7428,5860,1349,25,63,6534,1350,11600,5920,1000,1000,81,90,13.9,10,10093,60
300,123755,1,544,399,177,15,35,600,363,6987,3585,750,1500,77,83,12.5,12,9067,75
177,123632,0,3330,2730,1303,15,36,6706,2640,5800,3000,600,2200,73,75,14.0,9,9825,42
485,123940,0,5785,2690,499,26,62,4005,1886,7410,4748,690,2009,90,95,17.4,16,11878,58
526,123981,1,437,400,211,13,35,614,271,8990,3064,500,1700,73,73,14.8,7,7881,48
498,123953,1,888,734,393,26,60,1433,27,12730,4514,500,1525,74,95,9.9,31,11165,98
598,124053,1,626,372,145,12,34,983,40,7700,3400,450,800,70,70,21.9,28,4933,52
310,123765,1,979,743,259,25,46,1188,166,10100,4000,400,1000,88,92,12.0,20,8539,66
160,123615,1,571,461,174,10,26,645,283,10850,3670,400,1159,58,60,12.8,19,7505,56
364,123819,1,1742,1382,607,30,64,2258,53,10300,5080,475,1200,68,75,14.1,30,7762,89
183,123638,1,516,409,200,17,40,1238,30,8770,3500,450,700,58,58,17.3,17,6430,70
285,123740,0,833,669,279,3,13,1224,345,7656,4690,500,624,80,91,14.4,15,6564,36
388,123843,1,586,533,239,16,36,950,228,10520,3678,500,1000,48,68,13.0,32,8111,56
389,123844,1,882,730,330,2,13,926,12,4515,2550,850,2100,53,60,18.6,34,6990,60
520,123975,0,5818,3281,1116,14,53,5268,300,7844,3504,450,1700,80,83,18.8,13,6719,72
719,124174,1,1416,1015,417,10,44,1324,117,13500,5800,585,1700,67,78,13.2,23,9006,75
214,123669,1,2464,1908,678,24,57,2693,691,10970,4280,500,1380,47,51,13.3,18,7711,65
168,123623,1,360,329,108,4,19,756,863,8310,5500,600,1800,43,43,12.7,5,5480,54
721,124176,1,1092,890,477,27,92,847,497,8670,4180,500,1450,42,58,11.3,33,5738,68
455,123910,1,875,744,207,7,38,1173,1402,9700,4830,400,1200,45,90,14.5,10,7652,66
121,123576,1,604,452,295,15,47,690,222,9888,4502,400,1000,64,77,12.1,39,8741,75
391,123846,1,279,276,126,17,37,600,435,6844,2980,500,500,45,55,11.7,38,5073,44
341,123796,1,824,670,337,15,41,1160,653,9400,3400,500,1100,37,37,8.4,21,5352,59
201,123656,0,3306,2079,1071,42,89,10208,9310,6597,2494,800,3028,81,96,13.9,20,6722,66
452,123907,1,404,400,169,28,48,797,100,6000,3000,500,500,48,57,13.4,14,5557,61
738,124193,0,6502,3539,1372,11,51,7484,1904,7844,4108,400,2000,76,79,15.3,16,6773,52
188,123643,1,3624,2786,858,11,39,2933,334,9100,3883,490,1777,70,74,18.9,34,6329,63
75,123530,1,599,494,224,8,28,1035,446,10518,6250,300,300,59,76,16.5,36,7117,71
519,123974,1,936,794,197,24,56,752,210,11240,4180,350,2000,71,71,11.2,37,10065,71
283,123738,1,2421,2109,820,27,57,3168,392,11700,5550,600,450,89,90,14.5,28,7738,89
134,123589,1,546,447,189,16,42,873,683,11138,4138,600,1200,40,74,14.0,7,8820,80
46,123501,1,632,620,222,14,24,702,501,9550,3850,350,250,64,84,14.1,18,5922,58
362,123817,1,1981,1541,514,18,36,1927,1084,12500,6200,375,1000,73,75,16.8,22,8707,80
302,123757,1,497,452,231,24,47,887,1957,9400,4005,500,1000,49,65,17.2,25,4054,57
559,124014,1,3646,2300,585,25,69,2022,926,12170,6172,480,800,79,79,13.0,30,7495,97
271,123726,1,268,253,103,16,44,494,1305,10000,5364,500,1000,56,64,11.2,33,7305,69
507,123962,1,335,284,132,28,69,534,216,10475,6300,500,2000,68,68,11.2,46,9599,60
147,123602,1,688,497,144,30,75,641,101,10800,4440,570,1515,55,60,13.1,13,8415,55
477,123932,1,935,858,345,22,50,1127,754,9490,4100,500,1500,60,79,10.7,21,7519,79
57,123512,1,377,358,181,15,30,653,129,7150,4350,450,1500,61,67,17.8,3,6259,53
143,123598,1,737,614,242,21,67,968,237,10425,3975,500,1500,61,77,14.7,34,8693,76
266,123721,1,607,558,269,22,47,1222,519,10500,4348,650,1500,81,91,11.6,29,8324,75
281,123736,0,2957,1423,691,10,30,3817,1394,3946,4800,400,1500,63,67,14.9,10,8367,26
550,124005,0,1340,695,285,42,73,1315,209,6800,4730,675,1250,84,89,11.6,23,10357,63
328,123783,1,1891,1698,719,24,80,2740,761,11100,5870,600,750,77,88,11.7,14,9456,53
501,123956,1,1910,1380,463,16,64,1715,106,13030,5860,500,750,79,88,14.5,34,10190,84
371,123826,1,1444,1261,456,29,62,1788,95,11910,4378,450,965,60,77,11.4,25,8149,75
238,123693,1,2491,1110,573,57,88,2213,35,5224,3048,525,350,65,65,18.4,18,4957,100
26,123481,1,2135,1700,491,23,59,1708,689,12000,5920,500,500,93,93,13.8,30,7100,88
370,123825,1,610,461,189,26,52,685,49,8200,3300,550,1000,63,69,12.0,16,8128,64
106,123561,1,1013,888,288,55,82,943,7,11850,4270,600,900,95,99,11.4,60,13118,74
635,124090,0,3347,2597,1006,10,37,4664,1630,6919,4500,500,1250,74,90,15.0,20,7462,56
398,123853,1,1310,1086,458,26,61,1365,144,12250,3530,400,1150,85,87,16.7,35,7215,81
386,123841,1,1232,955,303,23,58,1241,485,14990,4730,550,1250,86,92,15.2,28,9566,74
564,124019,0,7294,3564,904,7,34,5758,1363,6550,4460,500,705,79,83,19.0,14,6632,49
289,123744,1,589,575,148,16,40,474,258,8400,3250,500,1400,63,55,12.4,14,6535,68
482,123937,0,3820,1431,695,21,70,5303,3942,4356,4830,800,800,76,81,22.1,6,7252,51
627,124082,1,1597,969,226,16,38,1431,1522,13540,5050,630,2298,66,68,14.1,23,10139,47
644,124099,0,1618,1141,479,18,54,4793,4552,7246,3964,500,4288,71,73,13.4,15,6433,48
199,123654,1,1415,714,338,18,52,1345,44,5120,3200,500,2140,52,60,18.1,9,3930,69
476,123931,1,2227,1790,437,27,54,1460,239,13425,4425,450,1200,85,89,13.0,26,9405,72
