x,y,type
1796.68939373,5923.51361801,1
2573.24954815,8224.25173085,1
-1796.1775082,3433.592266,1
-1121.40873129,4226.08860336,1
737.303408783,3071.06127469,1
3459.65364586,5385.61720216,1
-1482.43847368,402.079546422,1
409.706851927,5153.43858546,1
4709.87140387,4620.38956617,1
634.507431099,5544.98489482,1
-10234.3748179,-5439.91550341,1
-399.557504685,5478.22314371,1
-3515.95688665,2119.67415868,1
-3884.73529703,1586.90546649,1
7556.29038485,2103.01607923,1
10669.1629727,-11854.7873389,1
-15124.8949891,-4534.21844657,1
-6364.48388317,1893.86589701,1
8680.76729002,-5721.11433965,1
-3222.38249132,-1996.72846398,1
1009.31272345,3904.06943886,1
3034.30283281,6232.05621367,1
1503.13274848,4245.44584537,1
-5217.44682315,3225.20978276,1
-2226.21481729,-1123.39942467,1
-5376.95387341,1469.01207367,1
-5466.7008457,2299.67700754,1
20402.044662,-50451.0283209,1
500.709965516,5724.54809456,1
3070.6488191,-12385.7955913,1
9636.27066433,-10707.5651694,1
258.350037541,5032.10970507,1
4800.36786976,-786.747662532,1
-888.953867764,1881.73995797,1
-2287.31652084,2091.16276435,1
-3830.90000392,4084.38767178,1
-1374.50869449,5241.54409382,1
7570.9762833,-10762.3427093,1
2984.00794333,4554.34572172,1
5240.08299768,3062.78738603,1
-1493.51542796,3573.5397387,1
-124.916350627,4105.0855745,1
-3456.18801161,3315.37959754,1
7551.68319463,5339.19029345,1
-54.1804410351,6509.7278084,1
-3136.91848896,-1317.37055128,1
-12297.2734423,-3232.74135276,1
455.549509784,5021.43876129,1
-1350.78482979,-3886.894976,1
8118.50340425,-8074.86199703,1
2890.97831455,3012.19441024,1
-3061.14080872,3697.08975091,1
5215.55571184,4104.14920662,1
-10530.4403396,-5383.3108426,1
5414.57919245,-1335.48614094,1
-4668.03585671,-580.855197197,1
-3488.16289668,2724.87741564,1
1204.95066004,1124.19683878,1
-11688.1607393,-1656.27114004,1
13320.4029871,-14091.8651817,1
4010.23553085,6938.99228248,1
-384.321882838,5386.61872795,1
793.097039811,2970.70735945,1
-1282.33902839,5840.31309636,1
-1044.3598412,1239.68593263,1
-6404.68481321,278.929873939,1
-10950.9131397,-2536.15683078,1
-3620.85541771,1166.14638981,1
-5433.65329496,233.904209028,1
-9837.85831304,-13872.3729937,1
-38513.6045037,-28114.2473456,1
-615.590100813,-2511.08294021,1
5889.1313035,57.558038872,1
2165.10562072,9065.85242916,1
815.377585446,2049.94409684,1
