x,y,type
-5006.63480102,-2623.43681078,1
-4929.57632351,-4916.91998732,1
-3862.92238145,566.127032134,1
-4286.66560256,135.610098677,1
-3042.22574021,-1460.49273372,1
-4243.47080812,-4425.5734705,1
-1578.32450673,549.47839655,1
-4607.65509922,-1233.6585982,1
-2880.23843782,-4917.19691889,1
-4895.45743305,-1472.06968597,1
2478.51478831,10654.5050766,1
-5226.58071147,-835.539283315,1
-3214.58348731,1370.85356174,1
-2668.27938666,2717.26557961,1
2.93015270135,-6924.35362354,1
13699.7680953,-6943.0227192,1
1041.00692711,15463.558314,1
-3121.970363,4288.84072239,1
6843.94428462,-6240.14697044,1
965.966113078,3346.5019239,1
-3760.09233147,-2112.10890831,1
-4825.33025121,-3537.03780539,1
-3979.98464963,-2619.2148461,1
-3820.18553436,4078.87360852,1
-167.951860451,1851.35954519,1
-2854.67898054,3896.9581602,1
-3170.83094515,4545.49248686,1
47122.3745406,-9901.41531244,1
-5269.64205139,-1841.84791705,1
12450.9356506,-29.6720242062,1
12528.7728035,-6523.422809,1
-4537.65495701,-1144.66102118,1
1898.39530183,-4449.96794078,1
-2899.38731097,-457.352580354,1
-2871.40517749,1202.44474042,1
-4101.34138776,2498.33065939,1
-4762.12069566,-811.455198656,1
10551.9172064,-5460.56201249,1
-3298.43991294,-3030.79521769,1
-1946.78248221,-5039.97136607,1
-3814.56116471,456.015500965,1
-4042.89143418,-856.406645279,1
-3290.04758956,2598.64091265,1
-2797.91428546,-7693.76604877,1
-5418.21041885,-2221.54347655,1
250.940760998,2922.72312382,1
221.615671849,12291.0336231,1
-4668.94378472,-1559.60009154,1
2716.10630975,2515.47649338,1
9661.0689398,-5707.90090327,1
-2009.76817383,-2628.77099544,1
-3492.49672418,1134.98606633,1
-2807.41405012,-5965.56380673,1
2444.61375846,11011.3005263,1
2284.77294402,-3562.40351599,1
-728.435324086,4534.27394004,1
-3615.05334416,2055.83133936,1
-917.869449656,-811.38438736,1
-965.157521836,11357.3854691,1
16784.7179744,-9199.79950593,1
-5407.47227788,-5123.68028019,1
-4824.30742178,-470.728194005,1
-2856.12106435,-1099.75081478,1
-4881.91561362,-744.597408454,1
-1689.17565335,640.394770532,1
-2008.98297313,4954.73610059,1
38.504105398,10918.9676992,1
-2415.98364385,2252.34412161,1
-1817.2775691,4035.06722371,1
10364.0915881,12405.1007477,1
16860.7412528,41050.1019577,1
1957.93530779,891.650401129,1
1482.63983952,-5426.08556173,1
-5457.33177837,-4180.29697887,1
-1973.49295859,-1491.33525136,1
-3207.15107006,240.928967812,1
-1916.06241833,-4473.92380675,1
-2400.06346189,2120.54261957,1
3599.4155778,-5202.06377574,1
-3438.11238359,3081.37137644,1
-5060.5690842,-2582.12898267,1
8964.62160734,15030.9173913,1
7778.84449453,21093.2926033,1
-3791.95507154,-36.4027773052,1
-5869.69757414,-3390.44922996,1
-979.790046565,-7481.21892718,1
-3209.9628727,-994.350651639,1
16801.8056672,-9347.42154806,1
-4026.15183714,-216.950629231,1
-3991.56900292,-5260.18907307,1
-5168.69317364,-3223.5832669,1
-4181.79249671,-690.111161217,1
-4823.14468206,-4715.50789107,1
1436.70481027,-4401.76310857,1
-4030.1136249,1750.96320175,1
-3841.34552737,623.258363072,1
-1968.81488311,7225.42960904,1
-4289.72339989,142.592576333,1
-3377.41595221,-2014.59810592,1
-4778.44469818,-1145.06996061,1
-2234.98860717,9066.67867004,1
-3093.43398354,-177.016492909,1
-4875.0915036,-610.262095388,1
-2537.16395283,1349.80089985,1
8555.25450827,7972.06102244,1
-2233.97647319,8398.42778309,1
3493.13339375,-5977.05489506,1
-4538.38768989,-1697.29016122,1
-5167.38615494,-2097.37203121,1
-1285.86884544,-6700.56760801,1
-2555.24004152,5214.10575561,1
-1845.36715677,-1011.049845,1
15112.5798029,-5500.79432764,1
16255.1047186,24860.887048,1
-2987.20577617,1253.49919164,1
-461.494863776,7117.50970493,1
14917.2984087,31919.0719118,1
7466.12345321,3440.687373,1
493.660159192,-5747.84800176,1
-4410.35437457,178.573524885,1
850.478564444,-7228.04287792,1
28061.9592804,-12922.0661338,1
-5442.98605834,-2099.21695955,1
-3490.63498441,1031.33489307,1
-1179.75546438,184.040809465,1
26792.2663968,-13103.8591569,1
-5647.37642267,-2997.5591535,1
11008.9672305,-9161.9963194,1
-5609.35513558,-5273.24452139,1
4470.83913632,-4889.09842449,1
2691.91446182,-6433.36162433,1
11607.6103497,-8771.30256226,1
-4806.151195,-391.896086547,1
5842.75055834,-243.114187989,1
-6143.12319414,-7461.38903802,1
-3615.69991761,-951.629347159,1
4149.40516238,-9974.7278095,1
-4649.43336462,620.887297577,1
-1678.28664162,-3272.52696584,1
-3428.44261054,7033.74340911,1
-3834.96625464,61.7780575082,1
20446.5734297,-6253.33784076,1
541.078757467,4425.94427873,1
-5633.62869674,-2201.93549502,1
-1432.88963683,431.778840908,1
-3046.51460064,5213.19590947,1
11765.6806182,3840.4207442,1
2348.27224281,-6321.21608138,1
-3032.5898168,1474.51083209,1
-3960.03346194,995.692043238,1
-4227.35791373,3214.30815947,1
13958.764185,-6209.47713572,1
-1989.97161659,9059.70303816,1
-5056.48360125,-1238.72545906,1
-1660.5453481,1489.56698341,1
-5758.09318576,-4655.34678248,1
4483.59245332,-9857.1585003,1
-4117.89905248,217.506035847,1
-1463.59437402,-574.170670718,1
1127.10118132,2617.71447111,1
-3928.04490601,3117.81987855,1
-4176.71754612,-2541.06932351,1
4076.43126793,-5131.29073721,1
-4867.04923649,-2819.48859295,1
-5237.27905913,-996.530237521,1
-4526.7997515,2444.45796953,1
-4284.4750901,-7450.58515364,1
-5399.2757509,-2642.73824386,1
14342.3745253,28659.6298944,1
31987.6049315,-9993.96404796,1
-5149.84978163,-1176.62164368,1
-3477.93962428,-1579.13257438,1
-4169.40217132,953.833642871,1
-1080.062552,2107.68563377,1
-3970.06744181,-2572.63593485,1
-560.456120451,4532.56802558,1
-2284.08534243,6552.39148439,1
17207.1386295,-3740.91687616,1
943.882721333,2619.14317562,1
-1367.64669385,5908.4297583,1
-3335.91523159,-613.996802973,1
583.005337339,-8376.50259941,1
2160.02785037,10114.5586226,1
-5261.82240936,-3712.2696725,1
-1881.89514902,6845.85621437,1
-4912.44754732,-500.131588911,1
-3970.01797294,690.657173668,1
-645.673656755,586.01836121,1
4561.42874857,7930.03916329,1
-2096.0635338,7760.8953057,1
9692.33897686,26055.1971877,1
-4609.971455,1277.04505808,1
-4878.90786308,-2798.6274277,1
-4715.95382697,-2991.71248984,1
-4082.4290917,317.154300234,1
3743.06992666,-4258.99630316,1
12075.6378645,-5208.04977707,1
5531.85590962,-4239.36155001,1
-3173.27624489,-229.537036012,1
429.008459034,-5136.97603499,1
-836.166406246,-952.805275618,1
-1257.77964037,-4400.44875865,1
-656.50958255,6047.9886673,1
4402.48228074,-6823.9244704,1
-4717.83118708,-1297.37745934,1
1957.79855759,-5123.17750434,1
-5086.72359981,-2587.48657045,1
-5063.12029908,-1732.51285698,1
16273.8999108,5945.50385044,1
-3289.54488412,3410.74970636,1
-2354.09249199,2030.49334381,1
-4152.10351715,-316.708052278,1
4156.39509194,-1175.7847078,1
-3174.92801684,-6194.75212614,1
-2618.76163314,3689.22208841,1
-2561.11670955,-4684.46495774,1
-3660.02460115,1325.49979073,1
-671.143598342,10637.570615,1
-3324.39407326,1985.70316401,1
-341.923138763,5511.88400819,1
6706.03192055,-1365.68389218,1
-3874.02522921,-5754.24697403,1
-3877.64440386,-169.05838524,1
-1794.84767444,10786.7453481,1
-3853.46856389,2636.95525585,1
-962.107437086,928.174936946,1
-4139.60869139,-1245.75554846,1
-5318.77243053,-4818.90280033,1
-4668.220284,552.306886846,1
2228.4101777,14904.2724568,1
-4786.28656347,-1591.53739564,1
-4631.30747226,-3883.92803888,1
-4902.00102653,1304.88381367,1
2063.90688605,-7769.73197454,1
-5398.15252142,-5151.38533236,1
-3744.29116134,2348.08864892,1
-2370.98626179,1737.26034045,1
-4688.20431831,-3941.81992844,1
11228.3628322,-7389.62664526,1
-4528.45160719,-6481.08371436,1
14911.61848,14269.586093,1
-4762.53577263,1468.4893825,1
6002.3296538,-3013.56183704,1
-1443.85982094,5279.1234977,1
-4782.01723022,2306.27647547,1
542.736041735,9593.2207828,1
-4657.6620885,-2164.28637961,1
12165.6011146,-1342.29336379,1
71.2613638773,8186.75222304,1
-4038.40306778,1476.58448026,1
-5299.3037047,-2325.31298703,1
-3478.61764647,2587.60113082,1
-2418.80547971,6502.43737519,1
7077.19300427,-2581.37395787,1
-4285.21948006,-2238.67187983,1
10736.6271733,-3724.78620808,1
-4676.09208203,-4456.64390895,1
-4429.41039912,255.836279328,1
-6084.03996885,-4554.50282806,1
823.88134339,11935.3891635,1
-800.982175347,10841.4773908,1
-5935.18997398,-6130.1510228,1
10401.9655083,-3977.58975978,1
-4041.92009433,-5252.59736386,1
-5590.81217795,-3336.44118234,1
-4551.53672057,-6987.5558277,1
-1503.57010898,11859.1079289,1
6067.20806975,2444.35335861,1
282.58455021,1435.4085517,1
