,University_id,Private,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate
333,123788,0,535,502,223,6,20,959,150,7320,4640,500,600,48,65,12.6,15,7114,51
317,123772,1,810,484,356,6,33,2155,191,9200,4800,1000,4200,65,85,24.1,9,3480,100
350,123805,1,941,772,214,10,30,1247,776,11390,5280,500,750,77,82,10.6,17,8575,55
143,123598,1,737,614,242,21,67,968,237,10425,3975,500,1500,61,77,14.7,34,8693,76
503,123958,1,1606,1413,530,23,38,1921,1154,9408,5520,500,450,78,78,12.1,22,7669,53
629,124084,0,1208,803,438,20,48,1906,344,6810,3970,450,1647,67,75,15.9,26,5712,59
495,123950,1,2519,2003,776,39,71,2473,1314,12750,6350,350,1690,84,90,17.4,13,8243,83
190,123645,1,765,646,226,30,60,809,32,8578,4408,700,1600,79,88,13.9,51,8061,82
248,123703,1,1721,1068,806,35,75,3128,213,5504,3528,700,910,71,77,17.7,37,6466,73
235,123690,1,608,494,176,10,31,649,314,8330,3770,550,1300,64,80,13.0,31,7949,39
428,123883,1,4778,2767,678,50,89,2587,120,19670,5820,575,1119,77,96,10.1,47,16593,83
286,123741,1,313,228,137,10,30,552,67,9414,4554,500,1700,34,55,10.6,30,7840,56
740,124195,1,1566,1400,483,28,55,1509,170,14200,3775,450,1100,58,81,16.4,42,8080,67
627,124082,1,1597,969,226,16,38,1431,1522,13540,5050,630,2298,66,68,14.1,23,10139,47
530,123985,0,2281,1870,1408,18,43,6553,1246,4680,3540,200,2150,75,76,17.1,8,5916,45
510,123965,0,9402,7020,2151,20,70,16407,5550,8384,5110,612,2400,87,93,19.5,7,7930,41
753,124208,1,1738,1373,417,21,55,1335,30,18460,5970,700,850,92,96,13.2,41,22704,71
724,124179,1,1305,1100,334,42,64,1098,151,16260,4005,300,500,91,91,12.1,40,10162,86
79,123534,0,4540,3294,1483,5,60,13494,1254,7706,4368,600,1926,90,90,21.2,8,7268,61
327,123782,1,3768,2662,753,42,64,3558,436,13592,5916,545,1328,84,88,14.2,10,11677,84
639,124094,0,1458,874,588,56,86,1846,154,9843,3180,600,1500,74,78,14.6,16,6716,51
247,123702,1,467,424,350,16,40,1365,334,6300,2980,700,2140,75,79,13.7,10,7054,38
275,123730,1,735,423,366,20,48,2448,707,9210,3782,700,1000,49,51,39.8,15,6562,34
470,123925,1,427,385,143,18,38,581,533,12700,5800,450,700,81,85,10.3,37,11758,84
671,124126,1,2306,1721,538,23,48,4309,549,13226,6452,750,2450,86,86,13.6,8,10074,62
151,123606,1,1538,1329,383,33,68,1140,10,15248,4323,550,800,71,76,12.2,31,10340,64
244,123699,1,817,644,307,20,40,945,1,13218,4773,660,600,95,97,13.3,53,12263,69
483,123938,0,48094,26330,4520,36,79,21401,3712,7410,4748,690,2009,90,95,19.5,19,10474,77
297,123752,1,361,321,185,10,41,650,819,8842,4782,600,1100,57,73,14.2,14,7022,52
664,124119,0,8586,6383,2503,25,59,13138,4289,10786,4560,400,900,93,93,7.8,10,13789,66
141,123596,0,9478,6312,2194,29,65,15646,1829,8412,4180,470,1800,87,89,19.2,10,7850,59
716,124171,1,647,518,271,17,43,1014,387,9140,3365,500,2245,51,65,10.7,31,8050,73
520,123975,0,5818,3281,1116,14,53,5268,300,7844,3504,450,1700,80,83,18.8,13,6719,72
26,123481,1,2135,1700,491,23,59,1708,689,12000,5920,500,500,93,93,13.8,30,7100,88
332,123787,1,1756,1500,366,3,21,1524,280,12450,5400,450,870,62,66,12.4,24,8832,70
348,123803,1,478,327,117,9,34,731,370,11510,6450,575,1075,71,93,10.3,30,10502,77
75,123530,1,599,494,224,8,28,1035,446,10518,6250,300,300,59,76,16.5,36,7117,71
561,124016,0,14463,6166,1757,60,94,8544,671,6550,4598,700,1000,83,100,18.0,15,8055,80
166,123621,1,1998,1376,651,41,88,1539,45,6700,3650,500,2307,52,52,14.1,12,7566,61
656,124111,0,1800,1253,560,44,85,3876,3588,6634,4360,600,2604,82,85,17.8,14,6104,47
404,123859,1,947,798,266,36,68,1274,471,10850,5150,550,800,77,93,13.6,24,8797,61
12,123467,1,1179,780,290,38,64,1130,638,9690,4785,600,1000,60,84,13.3,21,7940,74
372,123827,1,905,834,319,32,61,1073,179,11320,4402,550,1350,82,89,12.7,38,11218,58
25,123480,0,1734,1729,951,12,52,3602,939,3460,2650,450,1000,57,60,19.6,5,4739,48
65,123520,1,367,274,158,12,41,917,479,9592,5879,500,700,71,80,13.7,12,5935,49
48,123503,1,3466,2330,640,20,60,3095,1533,13800,5510,630,850,87,87,17.5,20,10941,82
390,123845,1,1800,1314,526,47,79,1891,40,19300,5700,750,750,79,91,9.0,51,18359,84
252,123707,1,817,708,262,22,52,935,37,9376,3272,500,1902,57,63,13.0,17,7335,52
329,123784,1,3579,2959,868,25,55,5244,3417,11500,5330,700,2000,94,95,6.2,15,13009,65
675,124130,0,7693,5815,2328,30,66,12594,3661,8074,3522,495,2941,84,88,16.9,18,8246,63
774,124229,1,2097,1915,695,34,61,2793,166,6900,4200,617,781,67,75,14.4,20,8323,49
414,123869,1,1127,884,308,30,64,1310,766,11718,7398,450,1800,73,87,16.4,33,8871,76
772,124227,0,2197,1515,543,4,26,3089,2029,6797,3900,500,1200,60,60,21.0,14,4469,40
64,123519,1,4186,2743,740,48,77,2819,62,19380,6750,410,1000,90,97,9.8,24,17150,84
177,123632,0,3330,2730,1303,15,36,6706,2640,5800,3000,600,2200,73,75,14.0,9,9825,42
213,123668,1,2161,1951,685,56,82,2371,175,13440,4048,600,1250,92,95,13.5,28,12940,82
402,123857,1,1109,922,375,24,46,1115,70,13240,3914,600,800,73,85,13.4,27,9333,73
643,124098,0,1877,1826,823,49,77,3926,561,9057,3600,700,1435,88,88,14.4,23,9699,49
71,123526,1,1465,810,313,71,95,1088,16,18165,6750,500,1200,100,100,12.3,49,17449,89
203,123658,0,11651,8683,3023,50,90,18906,3242,6680,4060,600,1020,80,89,23.1,15,7250,58
315,123770,1,787,562,363,21,55,925,605,5950,2890,600,1300,67,72,14.6,35,5177,53
156,123611,1,504,482,185,10,36,550,84,9130,3322,450,1450,46,51,12.6,25,8686,54
744,124199,1,1650,1471,409,7,21,1803,1116,8994,5500,498,2065,74,97,15.4,15,8409,59
762,124217,1,469,435,227,17,39,851,120,10535,4365,550,3700,39,66,12.9,16,7438,52
328,123783,1,1891,1698,719,24,80,2740,761,11100,5870,600,750,77,88,11.7,14,9456,53
10,123465,1,1732,1425,472,37,75,1830,110,16548,5406,500,600,82,88,11.3,31,10932,73
