Type,Personal,S.F.Ratio,Accept
0,29,544,210
0,18,544,218
0,3,621,218
0,2,377,210
0,147,459,210
0,14,129,196
0,15,318,218
0,73,877,218
0,2,871,218
0,64,737,210
0,81,830,218
0,13,386,218
0,45,740,210
0,8,161,218
0,9,458,210
0,26,379,210
0,1,446,218
0,29,778,210
0,19,555,218
0,47,47,50
0,70,793,218
0,11,551,210
0,18,397,210
0,2,396,210
0,57,804,210
0,8,371,218
0,17,328,188
0,8,355,218
0,46,840,218
0,13,304,218
0,12,113,85
0,5,202,187
0,55,916,218
0,218,981,218
0,14,300,185
0,38,372,210
0,29,542,218
0,3,12,27
0,20,490,218
0,50,121,73
0,3,15,2
0,118,427,218
0,155,433,218
0,112,267,150
0,6,217,116
0,2,12,3
0,2,45,210
0,3,81,165
0,216,779,210
0,2,279,75
0,209,683,210
0,34,465,218
0,1,73,25
0,16,462,210
0,9,397,218
0,5,53,2
0,8,881,218
0,5,10,6
0,134,513,210
0,125,272,210
0,3,717,218
0,5,54,36
0,4,94,111
0,10,53,7
0,112,445,218
0,43,50,101
0,54,76,101
0,36,577,210
0,64,922,218
0,37,387,210
0,18,727,218
0,4,562,218
0,28,438,218
0,41,859,210
0,2,416,210
0,7,277,210
0,3,95,56
0,3,860,218
0,33,693,218
0,19,197,122
0,70,315,210
0,20,19,56
0,2,56,101
0,18,21,34
0,8,6,6
0,43,655,210
0,8,92,74
0,52,533,210
0,62,827,210
0,10,845,210
0,12,11,20
0,9,724,210
0,3,687,218
0,32,957,218
0,20,216,168
0,51,869,218
0,44,60,84
0,71,243,100
0,7,70,3
0,3,297,210
0,8,339,210
0,99,263,145
0,23,577,218
0,89,162,210
0,36,735,192
0,2,619,210
0,6,504,218
0,2,25,19
0,1,73,26
1,42,750,218
1,34,57,39
1,39,35,98
1,19,22,46
1,2,276,210
1,38,30,83
1,167,553,210
1,14,239,218
1,172,682,218
1,5,665,210
1,5,86,218
1,38,637,218
1,1,820,218
1,22,421,210
1,4,208,218
1,212,741,218
1,61,775,210
1,44,486,218
1,74,999,218
1,7,45,101
1,40,886,218
1,41,583,218
1,12,853,210
1,74,632,210
1,71,946,210
1,5,523,218
1,2,409,150
1,71,952,210
1,7,37,8
1,48,101,67
1,80,959,218
1,3,15,2
1,27,987,210
1,211,702,218
1,7,736,218
1,49,988,210
1,30,547,210
1,13,4,21
1,2,333,142
1,18,213,218
1,1,108,44
1,11,398,210
1,141,449,97
1,26,520,75
1,48,759,210
1,1,248,210
